h e0 var0 e1 var1 
0.925 -77.6776 1.38965e-07 -77.4971 0.00496564 
0.926 -77.7125 1.35617e-07 -77.5265 0.0189847 
0.927 -77.7475 1.36863e-07 -77.5652 0.00803782 
0.928 -77.7825 1.3327e-07 -77.5996 0.0223972 
0.929 -77.8176 1.31585e-07 -77.6161 0.0079207 
0.93 -77.8528 1.33995e-07 -77.646 0.00352367 
0.931 -77.888 1.30777e-07 -77.7186 0.00294198 
0.932 -77.9232 1.30643e-07 -77.7554 0.00377079 
0.933 -77.9586 1.29348e-07 -77.7888 0.00559145 
0.934 -77.994 1.29133e-07 -77.8264 0.00665832 
0.935 -78.0294 1.3172e-07 -77.8594 0.00760007 
0.936 -78.065 1.33787e-07 -77.903 0.00361725 
0.937 -78.1005 1.32314e-07 -77.9168 0.0157301 
0.938 -78.1362 1.29609e-07 -77.9795 0.00146947 
0.939 -78.1719 1.32191e-07 -78.0172 2.81197e-05 
0.94 -78.2077 1.34106e-07 -78.0545 7.82852e-07 
0.941 -78.2435 1.33958e-07 -78.0919 2.67777e-06 
0.942 -78.2794 1.38848e-07 -78.1293 5.12799e-07 
0.943 -78.3154 1.40285e-07 -78.1668 2.10592e-07 
0.944 -78.3514 1.44147e-07 -78.2043 1.71033e-07 
0.945 -78.3875 1.44062e-07 -78.2419 1.61876e-07 
0.946 -78.4237 1.46065e-07 -78.2795 1.8072e-07 
0.947 -78.4599 1.56191e-07 -78.3172 1.79006e-07 
0.948 -78.4962 1.58201e-07 -78.355 1.67379e-07 
0.949 -78.5326 1.63437e-07 -78.3927 1.63212e-07 
0.95 -78.569 1.63976e-07 -78.4306 1.77121e-07 
